query_norm,query_raw,brand,click_brand,label_id,label_reason,confidence,sample_weight,n_clicks,n_brands,brand_in_query,has_alias,is_category_only,tier,runner_up,weight_margin,pred
стиральная машина candy,стиральная машина candy,NO_BRAND,Candy,65,category_only,1.0,1.0,44,1,True,False,True,special,,1.0,Candy
стиральная машина узкая candy smart pro,Стиральная машина узкая Candy Smart Pro,Candy,Candy,12,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
ирригатор jetpik,ирригатор jetpik,UNKNOWN,Jetpik,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
гайковерт ударный аккумулятор,гайковерт ударный аккумулятор,UNKNOWN,WJB,66,ambiguous_clicks,0.28571428571428575,0.9,4,4,False,False,False,special,FoxWeld,0.0,NO_BRAND
steam deck,steam deck,NO_BRAND,Valve,65,category_only,0.9930212135462906,1.0,46,3,False,False,True,special,GameSpot,0.9889360702563144,UNKNOWN
набор посуды taller,набор посуды taller,NO_BRAND,TalleR,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,TalleR
зубр,зубр,UNKNOWN,Зубр,66,ood_brand_surface,1.0,0.9,4,1,True,False,False,special,,1.0,NO_BRAND
беспроводные колонки jbl,Беспроводные колонки JBL,NO_BRAND,JBL,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,JBL
холодильники двухстворчатый,холодильники двухстворчатый,UNKNOWN,Haier,66,ambiguous_clicks,0.482717036354521,0.9,6,5,False,False,False,special,Maunfeld,0.13516077017926587,NO_BRAND
сабельная пила,сабельная пила,UNKNOWN,Oasis,66,ambiguous_clicks,0.24346789718331652,0.9,16,12,False,False,False,special,Makita,0.04591108918313966,NO_BRAND
yoshiro холодильник,yoshiro холодильник,UNKNOWN,Yoshiro,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
карта памяти kingston,карта памяти kingston,NO_BRAND,Kingston,65,category_only,1.0,1.0,3,1,True,False,True,special,,1.0,Kingston
стиральная машина bosch узкая турция,стиральная машина bosch узкая турция,Bosch,Bosch,9,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
беспроводная портативная колонка jbl,беспроводная портативная колонка jbl,NO_BRAND,JBL,65,category_only,1.0,1.0,6,1,True,False,True,special,,1.0,JBL
встраиваемая морозилка под столешницу zugel,встраиваемая морозилка под столешницу zugel,UNKNOWN,ZUGEL,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
панель индукционная kuppersberg,панель индукционная kuppersberg,NO_BRAND,Kuppersberg,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Kuppersberg
микроволновая печь соло pioneer mw229 d,Микроволновая печь соло Pioneer MW229D,UNKNOWN,Pioneer,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
стиральная машинка стиральная машинка candy aqua 114 д-2,стиральная машинка стиральная машинка candy aqua 114д-2,Candy,Candy,12,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
