query_norm,query_raw,brand,click_brand,label_id,label_reason,confidence,sample_weight,n_clicks,n_brands,brand_in_query,has_alias,is_category_only,tier,runner_up,weight_margin,pred,pred_reject
авторегистратор,авторегистратор,UNKNOWN,Navitel,66,ambiguous_clicks,0.4775312535195405,0.9,7,5,False,False,False,special,Intego,0.11938281337988516,NO_BRAND,NO_BRAND
встроенный холодильник gorenje,встроенный холодильник gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Gorenje,Gorenje
мойка воздуха dreame,Мойка воздуха dreame,NO_BRAND,Dreame,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Dreame,Dreame
панель индукционная kuppersberg,панель индукционная kuppersberg,NO_BRAND,Kuppersberg,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Kuppersberg,Kuppersberg
ручной отпариватель gressel gsi-2380,Ручной отпариватель Gressel GSI-2380,UNKNOWN,Gressel,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
набор кухонных ножей tefal,набор кухонных ножей tefal,Tefal,Tefal,59,brand_in_query,1.0,1.0,4,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
фотокамера sony беззеркальный,фотокамера sony беззеркальный,Sony,Sony,55,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
яндекс дропс наушники,Яндекс дропс наушники,UNKNOWN,Яндекс,66,low_conf_with_evidence,0.5,0.9,2,2,True,False,False,special,beets,0.0,Яндекс,Яндекс
трос буксировочный,трос буксировочный,UNKNOWN,нет,66,ambiguous_clicks,0.41025641025641024,0.9,8,5,False,False,False,special,Goodyear,0.1465201465201465,NO_BRAND,NO_BRAND
беспроводной ручной вертикальный моющий пылесос dreame,беспроводной ручной вертикальный моющий пылесос dreame,Dreame,Dreame,19,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
аккумулятор доя газонокосилки gardena,Аккумулятор доя газонокосилки Gardena,UNKNOWN,Gardena,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
стиральная машинка gorenje узкая,стиральная машинка gorenje узкая,NO_BRAND,Gorenje,65,category_only,1.0,1.0,5,1,True,False,True,special,,1.0,Gorenje,Gorenje
электрические зубные щетки revyline,электрические зубные щетки revyline,UNKNOWN,Revyline,66,ood_brand_surface,1.0,0.9,10,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
вытяжки кухонные krona,вытяжки кухонные krona,NO_BRAND,Krona,65,category_only,1.0,1.0,3,1,True,False,True,special,,1.0,Krona,NO_BRAND
раковина,раковина,NO_BRAND,Orange,65,category_only,0.3817607310699685,1.0,23,8,False,False,True,special,Stella Polar,0.17627606789259564,UNKNOWN,UNKNOWN
бензогенератор,бензогенератор,UNKNOWN,Patriot,66,ambiguous_clicks,0.4222916001693199,0.9,5,5,False,False,False,special,Ресанта,0.05278645002116497,NO_BRAND,NO_BRAND
гайковерт ударный аккумулятор,гайковерт ударный аккумулятор,UNKNOWN,WJB,66,ambiguous_clicks,0.28571428571428575,0.9,4,4,False,False,False,special,FoxWeld,0.0,NO_BRAND,NO_BRAND
