query_norm,query_raw,brand,click_brand,label_id,label_reason,confidence,sample_weight,n_clicks,n_brands,brand_in_query,has_alias,is_category_only,tier,runner_up,weight_margin
стиральная машина узкая midea mf100w70 bs s,Стиральная машина узкая Midea MF100W70BS/S,Midea,Midea,42,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
сплит система кондиционер lg pc09 sqr белый до 25 м инвертор,"Сплит система кондиционер LG PC09SQR ,белый ( до 25 м), инвертор",LG,LG,38,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
philips с триммером,philips с триммером,Philips,Philips,46,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
dyson v15 detect absolute,dyson v15 detect absolute,Dyson,Dyson,20,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
индукционная варочная панель bosch pug611aa5 e 60 см 4 конфорки стеклокерамика черный,"Индукционная варочная панель BOSCH PUG611AA5E, 60 см, 4 конфорки, стеклокерамика, черный",Bosch,Bosch,9,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
samsung a 36,samsung a 36,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
планшет huawei matepad 11 5 s 2026 12 512,планшет huawei matepad 11 5s 2026 12 512,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
пылесос вертикальный хьсиами,пылесос вертикальный хьсиами,NO_BRAND,Xiaomi,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
микрофон петличный dji,микрофон петличный dji,NO_BRAND,DJI,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
вертикальный пылесос моющий tefal x clean 4 gf5035f0 серый,Вертикальный пылесос моющий Tefal X-Clean 4 GF5035F0  серый,Tefal,Tefal,59,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
xолодильник с морозильником indesit ds 3160 w белый,Холодильник с морозильником   Indesit DS 3160 W белый,Indesit,Indesit,30,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
usb разветвитель,usb разветвитель,NO_BRAND,Baseus,65,category_only,0.6044535820647327,1.0,8,7,False,False,True,special,Hoco,0.48572162844487443
кастрюля taller,кастрюля taller,TalleR,TalleR,57,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
наушники беспроводные,наушники беспроводные,NO_BRAND,Rock,65,category_only,0.11857281619201941,1.0,1379,74,False,False,True,special,HUAWEI,0.008167520884679478
uwant,uwant,UNKNOWN,UWANT,66,ood_brand_surface,1.0,0.9,3,1,True,False,False,special,,1.0
dreame d30 ultra,dreame d30 ultra,Dreame,Dreame,19,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
стол кухонный круглый,стол кухонный круглый,NO_BRAND,Stool Group,65,category_only,1.0,1.0,2,1,False,False,True,special,,1.0
пылесос самсунг vcc4520s36-xev,Пылесос самсунг vcc4520s36-xev,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
чехол для наушников airpods pro,чехол для наушников airpods pro,Apple,Prime Line,2,alias_hint,1.0,1.0,1,1,False,True,False,high,,1.0
bosch кофемолка электрическая tsm6a013 b,Bosch Кофемолка электрическая TSM6A013B,Bosch,Bosch,9,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
холодильник двухкамерный haier,холодильник двухкамерный haier,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
hotpoint fe9 1231 js blg,Hotpoint FE9 1231 JS BLG,UNKNOWN,Hotpoint,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
моющий пылесос томас f,моющий пылесос томас f,NO_BRAND,Thomas,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
realme с75,Realme С75,realme,realme,63,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
ноутбук huawei matebook d 16 2024 mclf x,Ноутбук HUAWEI MateBook D 16 2024 MCLF-X,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
смарт-часы samsung galaxy watch8 classic 46 mm,Смарт-часы Samsung Galaxy Watch8 Classic 46mm,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
gx53,gx53,UNKNOWN,Яндекс,66,ambiguous_clicks,0.444743935309973,0.9,5,3,False,False,False,special,Gauss,0.024258760107816732
тв антенна активная комнатная с усилителем,тв антенна активная комнатная с усилителем,UNKNOWN,Rexant,66,ambiguous_clicks,0.43478169821176105,0.9,13,5,False,False,False,special,Denn,0.08505499751974105
mac book air,Mac book air,NO_BRAND,Apple,65,category_only,1.0,1.0,4,1,False,False,True,special,,1.0
philips series 1200 ep1220,Philips Series 1200 (EP1220),Philips,Philips,46,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
чехол для планшета huawei matepad,чехол для планшета huawei matepad,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
диван comfo,диван comfo,UNKNOWN,COMFO,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
24 телевизор hi ht-24h01 fb 1366x768 usb hdmi dv3 черный,"24"" Телевизор Hi HT-24H01FB, 1366x768, USB, HDMI, DV3, черный",Hi,Hi,28,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
салфетки для робота-мойщика atvel zorro z4 8 шт.,"Салфетки для робота-мойщика Atvel Zorro Z4, 8 шт.",Atvel,Atvel,4,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
гельгель для стирки wonder lab для стирки,гельГель для стирки WONDER LAB  для стирки,UNKNOWN,WONDER LAB,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
epson l3151,Epson L3151,UNKNOWN,Epson,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
haier 50 smart s4,haier 50 smart s4,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
встроенные холодильники,встроенные холодильники,NO_BRAND,Gorenje,65,category_only,0.3146943134679457,1.0,46,19,False,False,True,special,Haier,0.17542072216143803
телефоны мобильные кнопочные,телефоны мобильные кнопочные,NO_BRAND,BQ,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
lg f1296hds3,LG F1296HDS3,LG,LG,38,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
стол садовый глайдер,стол садовый глайдер,NO_BRAND,Фотон,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
аккумуляторы,аккумуляторы,NO_BRAND,Mirex,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
самсунг s23 ультра 256 гб,самсунг s23 ультра 256 гб,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
блендер kitfort,блендер kitfort,Kitfort,Kitfort,35,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
